foret,numero,code_essence,zone_h,x,y,lng,dm,lac
14260,118,991,30N,361286,696494,1100,60,
14260,119,991,30N,362210,696480,1100,83,O
14260,120,991,30N,361364,696477,1500,57,
14260,121,24,30N,362195,696460,1500,60,O
14260,122,19,30N,362183,696460,1240,118,O
14260,123,19,30N,362489,696451,1200,90,O
14260,124,19,30N,362490,696450,1300,60,O
14260,125,19,30N,362183,696450,1300,76,O
14260,126,19,30N,361525,696450,1130,70,
14260,127,19,30N,362980,696443,1390,77,O
14260,128,19,30N,362530,696440,1280,100,O
14260,129,19,30N,362216,696427,800,80,O
14260,130,19,30N,362505,696415,1470,100,O
14260,131,19,30N,362510,696410,490,85,O
14260,132,19,30N,362388,696408,1200,106,O
14260,133,19,30N,362530,696400,1250,90,O
14260,134,19,30N,362375,696399,1260,103,O
14260,135,19,30N,362390,696390,1350,70,O
14260,136,19,30N,363615,696370,1070,93,O
14260,137,19,30N,363605,696360,1120,60,O
14260,138,19,30N,362192,696360,1350,80,O
14260,139,19,30N,362440,696350,1070,82,O
14260,140,991,30N,362330,696335,1280,70,O
14260,141,24,30N,362315,696325,1060,105,O
14260,142,19,30N,362305,696320,1230,95,O
14260,143,19,30N,362520,696305,1400,78,O
14260,144,24,30N,362412,696288,950,75,O
14260,145,24,30N,362539,696286,1000,50,O
14260,146,19,30N,362296,696285,660,90,O
14260,147,24,30N,362104,696279,1500,57,
14260,148,19,30N,361785,696265,980,80,
14260,149,991,30N,361776,696264,1370,73,
14260,150,19,30N,361765,696262,1180,76,
14260,151,19,30N,361762,696261,1200,70,
14260,152,991,30N,362290,696260,1000,57,O
14260,153,19,30N,362320,696255,1150,76,O
14260,154,19,30N,362415,696250,1070,92,O
14260,155,19,30N,362142,696242,1350,90,O
14260,156,19,30N,362310,696240,1470,76,O
14260,157,991,30N,362388,696222,1400,60,O
14260,158,986,30N,362061,696213,1500,67,
14260,159,965,30N,362377,696209,1200,60,O
14260,160,19,30N,362360,696206,1350,76,O
14260,161,44,30N,362370,696205,1450,65,O
14260,162,24,30N,362366,696204,1440,50,O
14260,163,19,30N,362361,696200,1440,76,O
14260,164,24,30N,362330,696189,1300,60,O
14260,165,991,30N,362333,696182,1050,70,O
14260,166,19,30N,362127,696178,1370,76,O
14260,167,19,30N,362135,696177,760,93,O
14260,168,991,30N,362265,696165,1380,70,O
14260,169,19,30N,362120,696163,1500,76,O
14260,170,19,30N,362262,696161,1000,63,O
14260,171,19,30N,361860,696160,1130,100,
14260,172,19,30N,362100,696158,1280,77,
14260,173,19,30N,362105,696154,1480,60,
14260,174,19,30N,362269,696153,1180,76,O
14260,175,19,30N,362105,696148,1500,76,
14260,176,19,30N,362102,696147,1050,95,
14260,177,19,30N,361895,696141,820,70,
14260,178,19,30N,362099,696140,910,96,
14260,179,19,30N,362925,696125,1160,76,O
14260,180,19,30N,361118,696113,1190,78,
14260,181,19,30N,364001,696057,1070,76,O
14260,182,19,30N,362220,696056,1450,76,O
14260,183,39,30N,361960,696055,1450,55,
14260,184,24,30N,361965,696054,1400,48,
14260,185,19,30N,362214,696049,1070,110,O
14260,186,19,30N,361980,696043,1250,78,
14260,187,19,30N,361987,696037,1230,105,
14260,188,19,30N,361965,696035,900,80,
14260,189,19,30N,363974,696027,1500,76,O
14260,190,19,30N,362000,696027,1170,90,
14260,191,19,30N,363951,696024,1190,100,O
14260,192,19,30N,361421,696010,1000,135,
14260,193,19,30N,361415,696003,1150,115,
14260,194,19,30N,362034,695959,1200,83,
14260,195,19,30N,362164,695942,900,76,O
14260,196,19,30N,362064,695842,1400,100,
